brand_slug,event_type,city_scope,event_date,event_name,source_url,notes
ALDI,zh_name_adopt,national,2017-03-20,天猫上线并确定中文名“奥乐齐”,https://zh.wikipedia.org/zh-hans/%E5%A5%A5%E4%B9%90%E9%BD%90%E8%B6%85%E5%B8%82,维基词条：2017-03-20 天猫上线，同时确定中文名“奥乐齐”。
ALDI,market_entry,SHANGHAI,2019-06-03,上海首批试点店开幕（奥乐齐）,https://www.aldi.cn/aboutus/ourstory/,ALDI官方：2019年6月中国首批试点店开幕。
AUCHAN,ownership_change,national,2020-10-19,阿里巴巴将对高鑫零售持股提高至约72%,https://www.alibabagroup.com/document-1491179758677917696,阿里巴巴官方新闻稿。
AUCHAN,rebranding,national,2021-07-12,中国区欧尚门店陆续更名为大润发,https://www.producereport.com/article/auchans-china-stores-rebrand-rt-mart,Produce Report：69家欧尚将更名为大润发，2021下半年完成。
COST,market_entry,SHANGHAI,2019-08-26,上海闵行首店开业（大陆市场，中文名“开市客”）,https://www.xinhuanet.com/english/2019-08/27/c_138343087.htm,新华社：大陆首店开业；门店与官方渠道采用中文名“开市客”。
COST,trademark_granted_cn,national,2024-05-06,中文“开市客 COSTCO WHOLESALE”商标注册,https://www.tmkoo.com/detail/ed57709f37384133967541ee3bb13223,第三方商标库，显示2024-05-07注册公告日期。
CRF,trademark_granted_cn,national,1997-02-03,中文“家乐福”商标注册（多件最早之一）,https://www.wipo.int/amc/en/domains/decisions/text/2017/d2017-0827.html,WIPO案件披露：家乐福中文商标多件注册，最早1997-02-07。
CRF,ownership_change,national,2019-09-23,苏宁完成收购家乐福中国80%股权,https://www.prnewswire.com/news-releases/suning-completes-acquisition-of-carrefour-china-accelerating-full-scenario-retail-layout-300926774.html,收购完成公告。
METRO,ownership_change,national,2019-10-07,宣布向物美出售麦德龙中国控股权,https://www.reuters.com/article/business/metro-to-sell-majority-stake-in-chinese-business-to-wumart-idUSKBN1WQ1HS/,路透：交易宣布。
METRO,ownership_change_complete,national,2020-04-20,完成将麦德龙中国多数股权出售给物美,https://newsroom.metroag.de/en/news/2020/04/23/metro-ag-successfully-completes-majority-stake-sale-in-metro-china-to-wumei,METRO官方新闻：交易完成。
RTMART,trademark_filed_cn,national,1998-02-09,中文“大润发”商标申请（第35类）,https://www.tmkoo.com/detail/c61c829778808623,第三方商标库：1998-02-10 申请。
RTMART,trademark_granted_cn,national,2009-12-28,中文“大润发”商标注册（第35类）,https://ipr.mofcom.gov.cn/article/gnxw/sf/zz/zzsb/201910/1943311.html,中国保护知识产权网、最高法优秀裁判文书均载明2009-12-28注册。
SAM,market_entry,national,1996-08-12,在深圳开出中国大陆首店（山姆会员商店）,https://ip.people.com.cn/n1/2018/1114/c179663-30400266.html,人民网知识产权频道回顾：1996-08-12深圳首店。
SAM,trademark_filed_cn,national,2003-09-01,中文“山姆会员商店”商标申请（第35类）,https://www.tmkoo.com/detail/0d8c13e9274e76ba,第三方商标库，显示2003-09-05为第35类申请日期。
SAM,trademark_granted_cn,national,2017-06-26,中文“山姆会员商店 SAM'S CLUB”商标注册（第35类）,https://www.tmkoo.com/detail/e1d1f394877cb460967541ee3bb13223,第三方商标库，显示2017-06-28注册公告。
WALMART,trademark_granted_cn,national,1996-07-08,注册中文商标“沃尔玛”（第35类）,https://www.ciplawyer.cn/articles/123100.html,文章记载：沃尔玛于1996-07-14在中国注册中文“沃尔玛”商标（第35类）。
